origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.01,0
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.025,0
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.05,0
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.1,0
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.15,0.06180675270717767
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.2,0.30175849327669474
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.25,0.5711258196294163
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.3,0.6466999870203453
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.35,0.8141412503134526
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.4,0.915678517136413
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.45,1.173473769451876
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.5,1.2503199101402103
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.55,1.3244699240180395
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.6,1.5660697683109142
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.65,1.7473122074654608
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.7,1.8511887902875466
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.75,1.9651832956840594
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.8,2.099030768398156
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.85,2.2528799687637413
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.9,2.3341716085792474
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.95,2.681724966376524
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.975,3.002392534332399
2019-11-09,HHS Region 1,ili perc,1,2019-11-16,quantile,0.99,3.2780061746188216
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.01,0
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.025,0
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.05,0
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.1,0.12746926006925277
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.15,0.3570649573051899
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.2,0.46521708240420195
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.25,0.6241536747312573
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.3,0.7734651725849944
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.35,0.8906635083734642
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.4,1.0376988151378403
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.45,1.1420857855760045
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.5,1.2185646713079863
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.55,1.4179885586779197
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.6,1.5609194658901329
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.65,1.7345997639554986
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.7,1.9936077058834658
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.75,2.1548158515554663
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.8,2.2788658481406365
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.85,2.370111552481677
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.9,2.5878768184472003
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.95,2.9772842717912957
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.975,3.583928481683645
2019-11-09,HHS Region 1,ili perc,2,2019-11-23,quantile,0.99,3.8867557908783277
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.01,0
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.025,0
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.05,0
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.1,0.2869621586017736
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.15,0.45554888953173606
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.2,0.7314796026827965
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.25,0.8713041941807758
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.3,0.9857986722027101
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.35,1.2930720627818333
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.4,1.4821495760758885
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.45,1.545644323649856
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.5,1.6375269773701198
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.55,1.793576466516918
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.6,1.902228921623987
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.65,2.1839059807593806
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.7,2.2716657571885595
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.75,2.3310675190195527
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.8,2.489883335231874
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.85,2.595115707209248
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.9,2.828762347209687
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.95,3.4008481691244414
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.975,3.708364293269992
2019-11-09,HHS Region 1,ili perc,3,2019-11-30,quantile,0.99,3.9202273539643957
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.01,0
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.025,0
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.05,0.18518456604537686
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.1,0.6026189081163291
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.15,0.8828791247343121
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.2,1.235742848329636
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.25,1.401901159092048
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.3,1.52646584388636
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.35,1.6712020351448929
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.4,1.8090852384635663
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.45,1.8525289676300543
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.5,1.9877401970187722
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.55,2.074881259170926
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.6,2.1356954349662445
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.65,2.3337625100284667
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.7,2.4921312987329824
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.75,2.609036719536366
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.8,2.769570785040146
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.85,2.987043552789265
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.9,3.1282737021334777
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.95,3.2830872838014167
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.975,3.517066962847003
2019-11-09,HHS Region 1,ili perc,4,2019-12-07,quantile,0.99,3.5863173147845386
2019-11-09,HHS Region 10,ili perc,1,2019-11-16,quantile,0.01,0
2019-11-09,HHS Region 10,ili perc,1,2019-11-16,quantile,0.025,0
2019-11-09,HHS Region 10,ili perc,1,2019-11-16,quantile,0.05,0
2019-11-09,HHS Region 10,ili perc,1,2019-11-16,quantile,0.1,0
2019-11-09,HHS Region 10,ili perc,1,2019-11-16,quantile,0.15,0
2019-11-09,HHS Region 10,ili perc,1,2019-11-16,quantile,0.2,0
2019-11-09,HHS Region 10,ili perc,1,2019-11-16,quantile,0.25,0
2019-11-09,HHS Region 10,ili perc,1,2019-11-16,quantile,0.3,0
2019-11-09,HHS Region 10,ili perc,1,2019-11-16,quantile,0.35,0.08626926950343325
2019-11-09,HHS Region 10,ili perc,1,2019-11-16,quantile,0.4,0.31542580280062843
2019-11-09,HHS Region 10,ili perc,1,2019-11-16,quantile,0.45,0.611872958954716
2019-11-09,HHS Region 10,ili perc,1,2019-11-16,quantile,0.5,0.7771764985656049
2019-11-09,HHS Region 10,ili perc,1,2019-11-16,quantile,0.55,0.9713758233999863
2019-11-09,HHS Region 10,ili perc,1,2019-11-16,quantile,0.6,1.2159169657052373
2019-11-09,HHS Region 10,ili perc,1,2019-11-16,quantile,0.65,1.3492270499038879
